Id,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Functional,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,SalePrice
1,3,1,3,3,0,4,0,5,2,2,0,5,7,2003,2003,1,0,12,13,2,4,2,2,3,3,2,706,5,856,1,0,1,4,856,854,1710,2,2,8,6,1,2003.0,1,2,548,4,4,2,8,4,208500
2,3,1,3,3,0,2,0,24,1,2,0,2,6,1976,1976,1,0,8,8,3,4,1,2,3,1,0,978,5,1262,1,0,1,4,1262,0,1262,2,3,6,6,1,1976.0,1,2,460,4,4,2,8,4,181500
3,3,1,0,3,0,4,0,5,2,2,0,5,7,2001,2002,1,0,12,13,2,4,2,2,3,2,2,486,5,920,1,0,1,4,920,866,1786,2,2,6,6,1,2001.0,1,2,608,4,4,2,8,4,223500
4,3,1,0,3,0,0,0,6,2,2,0,5,7,1915,1970,1,0,13,15,3,4,0,3,1,3,0,216,5,756,1,2,1,4,961,756,1717,1,2,7,6,5,1998.0,2,3,642,4,4,2,8,0,140000
5,3,1,0,3,0,2,0,15,2,2,0,5,8,2000,2000,1,0,12,13,2,4,2,2,3,0,2,655,5,1145,1,0,1,4,1145,1053,2198,2,2,9,6,1,2000.0,1,3,836,4,4,2,8,4,250000
6,3,1,0,3,0,4,0,11,2,2,0,0,5,1993,1995,1,0,12,13,3,4,5,2,3,3,2,732,5,796,1,0,1,4,796,566,1362,1,3,5,6,1,1993.0,2,2,480,4,4,2,8,4,143000
7,3,1,3,3,0,4,0,21,2,2,0,2,8,2004,2005,1,0,12,13,2,4,2,0,3,0,2,1369,5,1686,1,0,1,4,1694,0,1694,2,2,7,6,1,2004.0,1,2,636,4,4,2,8,4,307000
8,3,1,0,3,0,0,0,14,4,2,0,5,7,1973,1973,1,0,6,6,3,4,1,2,3,2,0,859,1,1107,1,0,1,4,1107,983,2090,2,3,7,6,1,1973.0,1,2,484,4,4,2,8,4,200000
9,4,1,3,3,0,4,0,17,0,2,0,0,7,1931,1950,1,0,3,15,3,4,0,3,3,3,5,0,5,952,1,2,1,1,1022,752,1774,2,3,8,2,5,1931.0,2,2,468,1,4,2,8,0,129900
10,3,1,3,3,0,0,0,3,0,0,1,1,5,1939,1950,1,0,8,8,3,4,0,3,3,3,2,851,5,991,1,0,1,4,1077,0,1077,1,3,5,6,1,1939.0,1,1,205,2,4,2,8,4,118000
11,3,1,3,3,0,4,0,19,2,2,0,2,5,1965,1965,3,0,6,6,3,4,1,3,3,3,4,906,5,1040,1,0,1,4,1040,0,1040,1,3,5,6,5,1965.0,2,1,384,4,4,2,8,4,129500
12,3,1,0,3,0,4,0,16,2,2,0,5,9,2005,2006,3,0,14,15,0,4,2,0,3,3,2,998,5,1175,1,0,1,4,1182,1142,2324,3,0,11,6,3,2005.0,0,3,736,4,4,2,6,5,345000
13,3,1,1,3,0,4,0,19,2,2,0,2,5,1962,1962,3,0,6,10,3,4,1,3,3,3,0,737,5,912,1,4,1,4,912,0,912,1,3,4,6,5,1962.0,2,1,352,4,4,2,8,4,144000
14,3,1,0,3,0,4,0,5,2,2,0,2,7,2006,2007,1,0,12,13,2,4,2,2,3,0,5,0,5,1494,1,0,1,4,1494,0,1494,2,2,7,6,1,2006.0,1,3,840,4,4,2,6,5,279500
15,3,1,0,3,0,0,0,12,2,2,0,2,6,1960,1960,3,0,8,8,3,4,1,3,3,3,1,733,5,1253,1,4,1,4,1253,0,1253,1,3,5,6,1,1960.0,1,1,352,4,4,2,8,4,157000
16,4,1,3,3,0,0,0,3,2,2,0,1,7,1929,2001,1,0,13,14,3,4,0,3,3,3,5,0,5,832,1,0,1,0,854,0,854,1,3,5,6,5,1991.0,2,2,576,4,4,2,8,4,132000
17,3,1,0,3,0,1,0,12,2,2,0,2,6,1970,1970,1,0,13,14,3,4,1,3,3,3,0,578,5,1004,1,0,1,4,1004,0,1004,1,3,5,6,1,1970.0,0,2,480,4,4,2,8,4,149000
18,3,1,3,3,0,4,0,19,2,2,2,2,4,1967,1967,1,0,8,8,3,4,3,3,3,3,5,0,5,0,1,4,1,4,1296,0,1296,2,3,6,6,4,1967.0,2,2,516,4,4,2,8,4,90000
19,3,1,3,3,0,4,0,20,5,2,0,2,5,2004,2004,1,0,12,13,3,4,2,3,3,3,2,646,5,1114,1,0,1,4,1114,0,1114,1,2,6,6,5,2004.0,2,2,576,4,4,2,8,4,159000
20,3,1,3,3,0,4,0,12,2,2,0,2,5,1958,1965,3,0,3,10,3,4,1,3,3,3,3,504,5,1029,1,4,1,4,1339,0,1339,1,3,6,2,1,1958.0,2,1,294,4,4,2,0,0,139000
21,3,1,0,3,0,0,0,16,2,2,0,5,8,2005,2006,1,0,12,13,2,4,2,0,3,0,5,0,5,1158,1,0,1,4,1158,1218,2376,3,2,9,6,3,2005.0,1,3,853,4,4,2,6,5,325300
22,4,1,3,0,0,4,0,9,2,2,0,1,7,1930,1950,1,0,13,14,3,4,2,3,3,3,5,0,5,637,1,0,1,1,1108,0,1108,1,2,6,6,1,1930.0,2,1,280,4,4,0,8,4,139400
23,3,1,3,3,0,4,0,5,2,2,0,2,8,2002,2002,3,0,12,13,2,4,2,2,3,3,5,0,5,1777,1,0,1,4,1795,0,1795,2,2,7,6,1,2002.0,1,2,534,4,4,2,8,4,230000
24,4,1,3,3,0,4,0,10,2,2,4,2,5,1976,1976,1,0,5,5,3,4,2,2,3,3,2,840,5,1040,1,4,1,4,1060,0,1060,1,3,6,6,1,1976.0,2,2,572,4,4,2,8,4,129900
25,3,1,0,3,0,4,0,19,2,2,0,2,5,1968,2001,1,0,9,10,3,2,1,3,3,2,4,188,0,1060,1,0,1,4,1060,0,1060,1,2,6,6,1,1968.0,2,1,270,4,4,2,8,4,154000
26,3,1,3,3,0,0,0,16,2,2,0,2,8,2007,2007,1,0,12,13,2,4,2,2,3,3,5,0,5,1566,1,0,1,4,1600,0,1600,2,2,7,6,1,2007.0,1,3,890,4,4,2,8,4,256300
27,3,1,3,3,0,0,0,12,2,2,0,2,5,1951,2000,1,0,13,14,3,4,1,3,3,2,1,234,4,900,1,4,1,4,900,0,900,1,2,5,6,5,2005.0,2,2,576,4,4,2,8,4,134800
28,3,1,3,3,0,4,0,16,2,2,0,2,8,2007,2008,1,0,12,13,2,4,2,0,3,3,2,1218,5,1704,1,0,1,4,1704,0,1704,2,2,7,6,1,2008.0,1,3,772,4,4,2,8,4,306000
29,3,1,0,3,0,1,0,12,2,2,0,2,5,1957,1997,1,0,8,8,3,4,1,3,3,1,1,1277,5,1484,1,4,1,4,1600,0,1600,1,3,6,6,1,1957.0,1,1,319,4,4,2,8,4,207500
30,4,1,0,3,0,4,0,3,1,6,0,2,4,1927,1950,1,0,8,8,3,4,0,3,3,3,5,0,5,520,1,1,0,4,520,0,520,1,1,4,6,5,1920.0,2,1,240,1,4,2,8,4,68500
31,0,1,3,3,0,4,0,9,1,2,0,5,4,1920,1950,2,0,3,3,3,1,0,3,3,3,5,0,5,649,1,4,0,4,649,668,1317,1,3,6,6,5,1920.0,2,1,250,4,1,0,8,4,40000
32,3,1,0,3,0,1,0,19,2,2,0,2,5,1966,2006,1,0,6,6,3,4,1,3,3,3,5,0,5,1228,1,2,1,4,1228,0,1228,1,2,6,6,1,1966.0,2,1,271,4,4,2,8,4,149350
33,3,1,3,3,0,0,0,5,2,2,0,2,8,2007,2007,1,0,12,13,2,4,2,0,3,0,5,0,5,1234,1,0,1,4,1234,0,1234,2,2,7,6,1,2007.0,1,2,484,4,4,2,8,4,179900
34,3,1,0,3,0,4,0,12,2,2,0,2,5,1959,1959,3,0,3,3,3,4,1,3,3,3,4,1018,5,1398,1,2,1,4,1700,0,1700,1,2,6,6,1,1959.0,1,2,447,4,4,2,8,4,165500
35,3,1,3,3,0,4,0,16,2,2,4,2,9,2005,2005,3,0,8,8,0,4,2,0,3,3,2,1153,5,1561,1,0,1,4,1561,0,1561,2,0,6,6,1,2005.0,0,2,556,4,4,2,8,4,277500
36,3,1,3,3,0,4,0,16,2,2,0,5,8,2004,2005,1,0,12,13,2,4,2,0,3,0,5,0,5,1117,1,0,1,4,1132,1320,2452,3,2,9,6,3,2004.0,0,3,691,4,4,2,8,4,309000
37,3,1,3,3,0,0,0,5,2,2,0,2,5,1994,1995,1,0,12,13,3,4,2,2,3,3,5,0,5,1097,1,0,1,4,1097,0,1097,1,3,6,6,1,1995.0,2,2,672,4,4,2,8,4,145000
38,3,1,3,3,0,4,0,12,2,2,0,2,5,1954,1990,3,0,13,14,3,4,1,3,3,3,4,1213,5,1297,1,2,1,4,1297,0,1297,1,3,5,6,1,1954.0,0,2,498,4,4,2,8,4,153000
39,3,1,3,3,0,4,0,12,2,2,0,2,5,1953,2007,1,0,12,13,3,2,1,3,3,3,2,731,5,1057,1,4,1,4,1057,0,1057,1,2,5,6,5,1953.0,2,1,246,4,4,2,8,0,109000
40,3,1,3,3,0,4,0,7,2,2,2,2,4,1955,1955,1,0,0,10,3,4,2,3,3,3,5,0,5,0,1,4,0,2,1152,0,1152,2,1,6,6,1,1978.5061638868744,2,0,0,4,4,0,8,1,82000
41,3,1,3,3,0,4,0,12,2,2,0,2,6,1965,1965,1,0,13,14,3,4,1,3,3,3,4,643,5,1088,1,0,1,4,1324,0,1324,2,3,6,6,1,1965.0,1,2,440,4,4,2,8,0,160000
